,emoji,sentiment
641,🥗,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.061, NEG: 0.007})"
642,🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, POS: 0.046, NEG: 0.006})"
643,▫️,"AnalyzerOutput(output=NEU, probas={NEU: 0.943, POS: 0.047, NEG: 0.010})"
644,🛰️,"AnalyzerOutput(output=NEU, probas={NEU: 0.864, POS: 0.099, NEG: 0.037})"
645,📄,"AnalyzerOutput(output=NEU, probas={NEU: 0.947, POS: 0.046, NEG: 0.008})"
646,🗺️,"AnalyzerOutput(output=NEU, probas={NEU: 0.920, POS: 0.074, NEG: 0.006})"
647,🦎,"AnalyzerOutput(output=NEU, probas={NEU: 0.918, POS: 0.070, NEG: 0.012})"
648,🍕,"AnalyzerOutput(output=NEU, probas={NEU: 0.868, POS: 0.126, NEG: 0.006})"
649,🏴󠁧󠁢󠁷󠁬󠁳󠁿,"AnalyzerOutput(output=NEU, probas={NEU: 0.939, POS: 0.052, NEG: 0.009})"
650,🚰,"AnalyzerOutput(output=NEU, probas={NEU: 0.943, POS: 0.048, NEG: 0.009})"
651,👐,"AnalyzerOutput(output=NEU, probas={NEU: 0.872, POS: 0.123, NEG: 0.005})"
652,🦕,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.060, NEG: 0.008})"
653,🏁,"AnalyzerOutput(output=NEU, probas={NEU: 0.955, POS: 0.036, NEG: 0.010})"
654,🏥,"AnalyzerOutput(output=NEU, probas={NEU: 0.938, POS: 0.048, NEG: 0.014})"
655,💪🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.959, POS: 0.036, NEG: 0.005})"
656,⛵,"AnalyzerOutput(output=NEU, probas={NEU: 0.900, POS: 0.094, NEG: 0.006})"
657,☝🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.964, POS: 0.030, NEG: 0.006})"
658,🇭🇳,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, POS: 0.040, NEG: 0.011})"
659,😺,"AnalyzerOutput(output=NEU, probas={NEU: 0.864, POS: 0.129, NEG: 0.007})"
660,♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.864, POS: 0.099, NEG: 0.037})"
661,⚛️,"AnalyzerOutput(output=NEU, probas={NEU: 0.933, POS: 0.056, NEG: 0.011})"
662,🙋🏻‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
663,🙌🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.039, NEG: 0.007})"
664,😽,"AnalyzerOutput(output=NEU, probas={NEU: 0.785, POS: 0.209, NEG: 0.006})"
665,🐁,"AnalyzerOutput(output=NEU, probas={NEU: 0.890, POS: 0.103, NEG: 0.007})"
666,🤦🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.763, NEG: 0.223, POS: 0.014})"
667,🥊,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, POS: 0.051, NEG: 0.007})"
668,➖,"AnalyzerOutput(output=NEU, probas={NEU: 0.917, NEG: 0.049, POS: 0.034})"
669,🐊,"AnalyzerOutput(output=NEU, probas={NEU: 0.933, POS: 0.058, NEG: 0.008})"
670,👊🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.958, POS: 0.038, NEG: 0.004})"
671,📗,"AnalyzerOutput(output=NEU, probas={NEU: 0.924, POS: 0.070, NEG: 0.006})"
672,🦁,"AnalyzerOutput(output=NEU, probas={NEU: 0.881, POS: 0.111, NEG: 0.008})"
673,🧰,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.059, NEG: 0.008})"
674,🏫,"AnalyzerOutput(output=NEU, probas={NEU: 0.936, POS: 0.041, NEG: 0.023})"
675,👊🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.958, POS: 0.038, NEG: 0.004})"
676,🤲🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.955, POS: 0.039, NEG: 0.006})"
677,🇮🇩,"AnalyzerOutput(output=NEU, probas={NEU: 0.952, POS: 0.037, NEG: 0.011})"
678,🚬,"AnalyzerOutput(output=NEU, probas={NEU: 0.934, POS: 0.052, NEG: 0.014})"
679,🇳🇿,"AnalyzerOutput(output=NEU, probas={NEU: 0.962, POS: 0.027, NEG: 0.011})"
680,🐓,"AnalyzerOutput(output=NEU, probas={NEU: 0.892, POS: 0.102, NEG: 0.006})"
681,👉🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.960, POS: 0.034, NEG: 0.007})"
682,📕,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.030, NEG: 0.016})"
683,🔷,"AnalyzerOutput(output=NEU, probas={NEU: 0.923, POS: 0.072, NEG: 0.006})"
684,🤚,"AnalyzerOutput(output=NEU, probas={NEU: 0.925, POS: 0.069, NEG: 0.006})"
685,🤲🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.946, POS: 0.049, NEG: 0.005})"
686,🌰,"AnalyzerOutput(output=NEU, probas={NEU: 0.914, POS: 0.081, NEG: 0.005})"
687,🎭,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.058, NEG: 0.007})"
688,👄,"AnalyzerOutput(output=NEU, probas={NEU: 0.926, POS: 0.059, NEG: 0.014})"
689,🐜,"AnalyzerOutput(output=NEU, probas={NEU: 0.925, POS: 0.056, NEG: 0.019})"
690,🔆,"AnalyzerOutput(output=NEU, probas={NEU: 0.598, POS: 0.399, NEG: 0.003})"
691,🚴,"AnalyzerOutput(output=NEU, probas={NEU: 0.916, POS: 0.079, NEG: 0.005})"
692,🤷🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.961, POS: 0.032, NEG: 0.007})"
693,⏬,"AnalyzerOutput(output=NEU, probas={NEU: 0.918, POS: 0.074, NEG: 0.009})"
694,🍹,"AnalyzerOutput(output=NEU, probas={NEU: 0.880, POS: 0.115, NEG: 0.005})"
695,👂,"AnalyzerOutput(output=NEU, probas={NEU: 0.918, POS: 0.074, NEG: 0.009})"
696,💢,"AnalyzerOutput(output=NEU, probas={NEU: 0.689, NEG: 0.290, POS: 0.021})"
697,📀,"AnalyzerOutput(output=NEU, probas={NEU: 0.902, POS: 0.092, NEG: 0.007})"
698,🔫,"AnalyzerOutput(output=NEU, probas={NEU: 0.951, POS: 0.035, NEG: 0.014})"
699,🚁,"AnalyzerOutput(output=NEU, probas={NEU: 0.906, POS: 0.085, NEG: 0.008})"
700,🇷🇼,"AnalyzerOutput(output=NEU, probas={NEU: 0.945, POS: 0.043, NEG: 0.012})"
701,🍔,"AnalyzerOutput(output=NEU, probas={NEU: 0.937, POS: 0.050, NEG: 0.014})"
702,👨‍👩‍👦‍👦,"AnalyzerOutput(output=NEU, probas={NEU: 0.942, POS: 0.049, NEG: 0.009})"
703,🧬,"AnalyzerOutput(output=NEU, probas={NEU: 0.928, POS: 0.064, NEG: 0.008})"
704,😼,"AnalyzerOutput(output=NEU, probas={NEU: 0.890, POS: 0.105, NEG: 0.005})"
705,🍯,"AnalyzerOutput(output=NEU, probas={NEU: 0.922, POS: 0.072, NEG: 0.006})"
706,🧨,"AnalyzerOutput(output=NEU, probas={NEU: 0.931, POS: 0.039, NEG: 0.030})"
707,🇫🇮,"AnalyzerOutput(output=NEU, probas={NEU: 0.948, POS: 0.042, NEG: 0.009})"
708,🔄,"AnalyzerOutput(output=NEU, probas={NEU: 0.937, POS: 0.057, NEG: 0.006})"
709,🥛,"AnalyzerOutput(output=NEU, probas={NEU: 0.912, POS: 0.083, NEG: 0.005})"
710,🇬🇷,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, POS: 0.042, NEG: 0.009})"
711,🚂,"AnalyzerOutput(output=NEU, probas={NEU: 0.920, POS: 0.071, NEG: 0.009})"
712,🔭,"AnalyzerOutput(output=NEU, probas={NEU: 0.909, POS: 0.081, NEG: 0.010})"
713,🌨️,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, POS: 0.052, NEG: 0.007})"
714,🏘️,"AnalyzerOutput(output=NEU, probas={NEU: 0.916, POS: 0.075, NEG: 0.009})"
715,🇿🇼,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, POS: 0.035, NEG: 0.016})"
716,🐙,"AnalyzerOutput(output=NEU, probas={NEU: 0.893, POS: 0.098, NEG: 0.009})"
717,💅,"AnalyzerOutput(output=NEU, probas={NEU: 0.904, POS: 0.090, NEG: 0.006})"
718,🛢️,"AnalyzerOutput(output=NEU, probas={NEU: 0.947, POS: 0.046, NEG: 0.008})"
719,🦑,"AnalyzerOutput(output=NEU, probas={NEU: 0.895, POS: 0.094, NEG: 0.012})"
720,🇾🇪,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, NEG: 0.023, POS: 0.022})"
721,🖐️,"AnalyzerOutput(output=NEU, probas={NEU: 0.942, POS: 0.052, NEG: 0.005})"
722,🦀,"AnalyzerOutput(output=NEU, probas={NEU: 0.918, POS: 0.071, NEG: 0.010})"
723,🌶️,"AnalyzerOutput(output=NEU, probas={NEU: 0.907, POS: 0.085, NEG: 0.008})"
724,🗞️,"AnalyzerOutput(output=NEU, probas={NEU: 0.945, POS: 0.047, NEG: 0.009})"
725,🚢,"AnalyzerOutput(output=NEU, probas={NEU: 0.902, POS: 0.088, NEG: 0.009})"
726,🚴‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
727,🚴‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
728,🚽,"AnalyzerOutput(output=NEU, probas={NEU: 0.936, POS: 0.049, NEG: 0.015})"
729,🇱🇸,"AnalyzerOutput(output=NEU, probas={NEU: 0.960, POS: 0.029, NEG: 0.011})"
730,🇳🇴,"AnalyzerOutput(output=NEU, probas={NEU: 0.909, POS: 0.082, NEG: 0.009})"
731,🎹,"AnalyzerOutput(output=NEU, probas={NEU: 0.886, POS: 0.109, NEG: 0.005})"
732,🚒,"AnalyzerOutput(output=NEU, probas={NEU: 0.940, POS: 0.043, NEG: 0.017})"
733,🤞🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.916, POS: 0.081, NEG: 0.004})"
734,🇵🇱,"AnalyzerOutput(output=NEU, probas={NEU: 0.952, POS: 0.039, NEG: 0.009})"
735,👩‍🌾,"AnalyzerOutput(output=NEU, probas={NEU: 0.943, POS: 0.046, NEG: 0.011})"
736,📋,"AnalyzerOutput(output=NEU, probas={NEU: 0.927, POS: 0.066, NEG: 0.007})"
737,🇦🇹,"AnalyzerOutput(output=NEU, probas={NEU: 0.951, POS: 0.039, NEG: 0.011})"
738,🐌,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.050, NEG: 0.015})"
739,🐣,"AnalyzerOutput(output=NEU, probas={NEU: 0.952, POS: 0.040, NEG: 0.007})"
740,🚶🏻‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
741,🛫,"AnalyzerOutput(output=NEU, probas={NEU: 0.961, POS: 0.027, NEG: 0.012})"
742,🤦🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.814, NEG: 0.172, POS: 0.014})"
743,🏃‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
744,🕯️,"AnalyzerOutput(output=NEU, probas={NEU: 0.864, POS: 0.099, NEG: 0.037})"
745,🇵🇷,"AnalyzerOutput(output=NEU, probas={NEU: 0.958, POS: 0.033, NEG: 0.009})"
746,📜,"AnalyzerOutput(output=NEU, probas={NEU: 0.936, POS: 0.054, NEG: 0.010})"
747,🚶‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
748,🆕,"AnalyzerOutput(output=NEU, probas={NEU: 0.559, POS: 0.438, NEG: 0.003})"
749,🚧,"AnalyzerOutput(output=NEU, probas={NEU: 0.937, NEG: 0.037, POS: 0.026})"
750,🌑,"AnalyzerOutput(output=NEU, probas={NEU: 0.789, POS: 0.208, NEG: 0.003})"
751,🚛,"AnalyzerOutput(output=NEU, probas={NEU: 0.944, POS: 0.049, NEG: 0.007})"
752,🥓,"AnalyzerOutput(output=NEU, probas={NEU: 0.930, POS: 0.061, NEG: 0.009})"
753,👩,"AnalyzerOutput(output=NEU, probas={NEU: 0.926, POS: 0.062, NEG: 0.012})"
754,📑,"AnalyzerOutput(output=NEU, probas={NEU: 0.934, POS: 0.057, NEG: 0.008})"
755,🤦🏿‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.023, NEG: 0.008})"
756,♦️,"AnalyzerOutput(output=NEU, probas={NEU: 0.913, POS: 0.081, NEG: 0.006})"
757,⚔️,"AnalyzerOutput(output=NEU, probas={NEU: 0.911, POS: 0.080, NEG: 0.009})"
758,🇧🇪,"AnalyzerOutput(output=NEU, probas={NEU: 0.947, POS: 0.041, NEG: 0.012})"
759,🇱🇰,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.025, NEG: 0.011})"
760,🎩,"AnalyzerOutput(output=NEU, probas={NEU: 0.916, POS: 0.077, NEG: 0.007})"
761,🏍️,"AnalyzerOutput(output=NEU, probas={NEU: 0.887, POS: 0.107, NEG: 0.007})"
762,0️⃣,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.029, NEG: 0.017})"
763,🏔️,"AnalyzerOutput(output=NEU, probas={NEU: 0.943, POS: 0.049, NEG: 0.008})"
764,👩‍🔬,"AnalyzerOutput(output=NEU, probas={NEU: 0.889, POS: 0.104, NEG: 0.007})"
765,🦘,"AnalyzerOutput(output=NEU, probas={NEU: 0.915, POS: 0.077, NEG: 0.008})"
766,✍,"AnalyzerOutput(output=NEU, probas={NEU: 0.933, POS: 0.059, NEG: 0.008})"
767,🍉,"AnalyzerOutput(output=NEU, probas={NEU: 0.924, POS: 0.068, NEG: 0.008})"
768,💏,"AnalyzerOutput(output=NEU, probas={NEU: 0.652, POS: 0.343, NEG: 0.005})"
769,🦚,"AnalyzerOutput(output=NEU, probas={NEU: 0.921, POS: 0.073, NEG: 0.006})"
770,💃🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.906, POS: 0.090, NEG: 0.004})"
771,🍼,"AnalyzerOutput(output=NEU, probas={NEU: 0.906, POS: 0.088, NEG: 0.006})"
772,🔶,"AnalyzerOutput(output=NEU, probas={NEU: 0.916, POS: 0.079, NEG: 0.006})"
773,👞,"AnalyzerOutput(output=NEU, probas={NEU: 0.967, POS: 0.023, NEG: 0.010})"
774,6️⃣,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.059, NEG: 0.006})"
775,🐅,"AnalyzerOutput(output=NEU, probas={NEU: 0.923, POS: 0.068, NEG: 0.009})"
776,🐔,"AnalyzerOutput(output=NEU, probas={NEU: 0.937, POS: 0.052, NEG: 0.011})"
777,👨,"AnalyzerOutput(output=NEU, probas={NEU: 0.871, POS: 0.121, NEG: 0.008})"
778,👼,"AnalyzerOutput(output=NEU, probas={NEU: 0.749, POS: 0.247, NEG: 0.004})"
779,✊️,"AnalyzerOutput(output=NEU, probas={NEU: 0.900, POS: 0.089, NEG: 0.011})"
780,❇️,"AnalyzerOutput(output=NEU, probas={NEU: 0.867, POS: 0.127, NEG: 0.006})"
781,🏴‍☠️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
782,☎️,"AnalyzerOutput(output=NEU, probas={NEU: 0.922, POS: 0.068, NEG: 0.010})"
783,✖️,"AnalyzerOutput(output=NEU, probas={NEU: 0.939, POS: 0.048, NEG: 0.012})"
784,🇹🇿,"AnalyzerOutput(output=NEU, probas={NEU: 0.923, POS: 0.067, NEG: 0.010})"
785,🍗,"AnalyzerOutput(output=NEU, probas={NEU: 0.960, POS: 0.031, NEG: 0.008})"
786,🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.961, POS: 0.033, NEG: 0.007})"
787,👎🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.828, NEG: 0.151, POS: 0.021})"
788,👮🏻‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
789,📧,"AnalyzerOutput(output=NEU, probas={NEU: 0.931, POS: 0.055, NEG: 0.014})"
790,🎾,"AnalyzerOutput(output=NEU, probas={NEU: 0.919, POS: 0.076, NEG: 0.006})"
791,🔚,"AnalyzerOutput(output=NEU, probas={NEU: 0.947, POS: 0.045, NEG: 0.008})"
792,🤸,"AnalyzerOutput(output=NEU, probas={NEU: 0.910, POS: 0.085, NEG: 0.005})"
793,🧹,"AnalyzerOutput(output=NEU, probas={NEU: 0.919, POS: 0.070, NEG: 0.011})"
794,🇵🇹,"AnalyzerOutput(output=NEU, probas={NEU: 0.943, POS: 0.049, NEG: 0.008})"
795,👌🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.947, POS: 0.048, NEG: 0.005})"
796,🚶,"AnalyzerOutput(output=NEU, probas={NEU: 0.910, POS: 0.084, NEG: 0.006})"
797,🤳,"AnalyzerOutput(output=NEU, probas={NEU: 0.922, POS: 0.069, NEG: 0.009})"
798,👆🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.029, NEG: 0.006})"
799,💠,"AnalyzerOutput(output=NEU, probas={NEU: 0.925, POS: 0.069, NEG: 0.006})"
800,🔮,"AnalyzerOutput(output=NEU, probas={NEU: 0.917, POS: 0.077, NEG: 0.006})"
801,🦟,"AnalyzerOutput(output=NEU, probas={NEU: 0.888, NEG: 0.083, POS: 0.030})"
802,🚑,"AnalyzerOutput(output=NEU, probas={NEU: 0.938, POS: 0.048, NEG: 0.014})"
803,🤷🏾‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.973, POS: 0.020, NEG: 0.008})"
804,🇬🇭,"AnalyzerOutput(output=NEU, probas={NEU: 0.945, POS: 0.045, NEG: 0.010})"
805,🍵,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.032, NEG: 0.014})"
806,🏛️,"AnalyzerOutput(output=NEU, probas={NEU: 0.924, POS: 0.070, NEG: 0.006})"
807,✏️,"AnalyzerOutput(output=NEU, probas={NEU: 0.919, POS: 0.071, NEG: 0.010})"
808,👤,"AnalyzerOutput(output=NEU, probas={NEU: 0.964, POS: 0.022, NEG: 0.014})"
809,🇧🇮,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.025, NEG: 0.012})"
810,🇬🇹,"AnalyzerOutput(output=NEU, probas={NEU: 0.942, POS: 0.046, NEG: 0.012})"
811,👎🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.698, NEG: 0.284, POS: 0.018})"
812,🛴,"AnalyzerOutput(output=NEU, probas={NEU: 0.905, POS: 0.086, NEG: 0.008})"
813,🤷🏿‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.023, NEG: 0.008})"
814,🍐,"AnalyzerOutput(output=NEU, probas={NEU: 0.936, POS: 0.053, NEG: 0.011})"
815,🚆,"AnalyzerOutput(output=NEU, probas={NEU: 0.931, POS: 0.060, NEG: 0.009})"
816,◾,"AnalyzerOutput(output=NEU, probas={NEU: 0.953, POS: 0.039, NEG: 0.008})"
817,🌫️,"AnalyzerOutput(output=NEU, probas={NEU: 0.940, POS: 0.040, NEG: 0.020})"
818,🐆,"AnalyzerOutput(output=NEU, probas={NEU: 0.914, POS: 0.077, NEG: 0.009})"
819,🙆🏻‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
820,🚿,"AnalyzerOutput(output=NEU, probas={NEU: 0.909, POS: 0.082, NEG: 0.009})"
821,🧀,"AnalyzerOutput(output=NEU, probas={NEU: 0.940, POS: 0.051, NEG: 0.009})"
822,🧪,"AnalyzerOutput(output=NEU, probas={NEU: 0.933, POS: 0.059, NEG: 0.008})"
823,🇳🇮,"AnalyzerOutput(output=NEU, probas={NEU: 0.948, POS: 0.044, NEG: 0.008})"
824,🍳,"AnalyzerOutput(output=NEU, probas={NEU: 0.900, POS: 0.093, NEG: 0.007})"
825,🏺,"AnalyzerOutput(output=NEU, probas={NEU: 0.934, POS: 0.060, NEG: 0.007})"
826,🗑️,"AnalyzerOutput(output=NEG, probas={NEG: 0.655, NEU: 0.337, POS: 0.008})"
827,🤙🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.931, POS: 0.065, NEG: 0.004})"
828,🦴,"AnalyzerOutput(output=NEU, probas={NEU: 0.936, POS: 0.049, NEG: 0.015})"
829,🧦,"AnalyzerOutput(output=NEU, probas={NEU: 0.887, POS: 0.103, NEG: 0.009})"
830,🧶,"AnalyzerOutput(output=NEU, probas={NEU: 0.910, POS: 0.080, NEG: 0.009})"
831,✌🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.771, POS: 0.227, NEG: 0.003})"
832,🇧🇴,"AnalyzerOutput(output=NEU, probas={NEU: 0.940, POS: 0.050, NEG: 0.010})"
833,👊🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.964, POS: 0.032, NEG: 0.004})"
834,🗳️,"AnalyzerOutput(output=NEU, probas={NEU: 0.947, POS: 0.048, NEG: 0.005})"
835,🚶‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
836,🦞,"AnalyzerOutput(output=NEU, probas={NEU: 0.897, POS: 0.096, NEG: 0.007})"
837,🇭🇹,"AnalyzerOutput(output=NEU, probas={NEU: 0.942, POS: 0.045, NEG: 0.013})"
838,👾,"AnalyzerOutput(output=NEU, probas={NEU: 0.920, NEG: 0.043, POS: 0.037})"
839,🇨🇬,"AnalyzerOutput(output=NEU, probas={NEU: 0.961, POS: 0.030, NEG: 0.009})"
840,🇿🇲,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, POS: 0.045, NEG: 0.013})"
841,👟,"AnalyzerOutput(output=NEU, probas={NEU: 0.929, POS: 0.065, NEG: 0.006})"
842,💁‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
843,🎍,"AnalyzerOutput(output=NEU, probas={NEU: 0.927, POS: 0.066, NEG: 0.007})"
844,🏢,"AnalyzerOutput(output=NEU, probas={NEU: 0.918, POS: 0.076, NEG: 0.006})"
845,💷,"AnalyzerOutput(output=NEU, probas={NEU: 0.923, POS: 0.070, NEG: 0.007})"
846,🥤,"AnalyzerOutput(output=NEU, probas={NEU: 0.910, POS: 0.083, NEG: 0.007})"
847,🍫,"AnalyzerOutput(output=NEU, probas={NEU: 0.837, POS: 0.158, NEG: 0.005})"
848,🐚,"AnalyzerOutput(output=NEU, probas={NEU: 0.950, POS: 0.039, NEG: 0.010})"
849,👠,"AnalyzerOutput(output=NEU, probas={NEU: 0.943, POS: 0.051, NEG: 0.007})"
850,🔑,"AnalyzerOutput(output=NEU, probas={NEU: 0.923, POS: 0.069, NEG: 0.009})"
851,🙆‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
852,🚶🏼‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
853,🦌,"AnalyzerOutput(output=NEU, probas={NEU: 0.918, POS: 0.073, NEG: 0.009})"
854,🐃,"AnalyzerOutput(output=NEU, probas={NEU: 0.943, POS: 0.049, NEG: 0.008})"
855,👋🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.938, POS: 0.057, NEG: 0.005})"
856,🦒,"AnalyzerOutput(output=NEU, probas={NEU: 0.911, POS: 0.080, NEG: 0.009})"
857,⛅,"AnalyzerOutput(output=NEU, probas={NEU: 0.942, POS: 0.052, NEG: 0.006})"
858,🇵🇾,"AnalyzerOutput(output=NEU, probas={NEU: 0.900, POS: 0.091, NEG: 0.009})"
859,🏦,"AnalyzerOutput(output=NEU, probas={NEU: 0.936, POS: 0.052, NEG: 0.011})"
860,🐡,"AnalyzerOutput(output=NEU, probas={NEU: 0.944, POS: 0.039, NEG: 0.016})"
861,📃,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.039, NEG: 0.007})"
862,🦐,"AnalyzerOutput(output=NEU, probas={NEU: 0.925, POS: 0.064, NEG: 0.011})"
863,⌚,"AnalyzerOutput(output=NEU, probas={NEU: 0.925, POS: 0.066, NEG: 0.009})"
864,🏴󠁧󠁢󠁥󠁮󠁧󠁿,"AnalyzerOutput(output=NEU, probas={NEU: 0.945, POS: 0.047, NEG: 0.009})"
865,🙇‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
866,🏜️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.054, NEG: 0.012})"
867,🐽,"AnalyzerOutput(output=NEU, probas={NEU: 0.942, NEG: 0.036, POS: 0.022})"
868,🖖🏻,"AnalyzerOutput(output=POS, probas={POS: 0.612, NEU: 0.386, NEG: 0.002})"
869,🤲🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.041, NEG: 0.005})"
870,🇯🇲,"AnalyzerOutput(output=NEU, probas={NEU: 0.938, POS: 0.051, NEG: 0.011})"
871,🍠,"AnalyzerOutput(output=NEU, probas={NEU: 0.955, POS: 0.038, NEG: 0.007})"
872,🏝️,"AnalyzerOutput(output=NEU, probas={NEU: 0.909, POS: 0.085, NEG: 0.006})"
873,👆🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.968, POS: 0.024, NEG: 0.007})"
874,👩‍💻,"AnalyzerOutput(output=NEU, probas={NEU: 0.918, POS: 0.075, NEG: 0.007})"
875,📘,"AnalyzerOutput(output=NEU, probas={NEU: 0.927, POS: 0.066, NEG: 0.007})"
876,🔨,"AnalyzerOutput(output=NEU, probas={NEU: 0.924, POS: 0.066, NEG: 0.010})"
877,🙆‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
878,🙋🏼‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
879,☝🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.967, POS: 0.026, NEG: 0.007})"
880,❎,"AnalyzerOutput(output=NEU, probas={NEU: 0.933, POS: 0.061, NEG: 0.006})"
881,🇦🇱,"AnalyzerOutput(output=NEU, probas={NEU: 0.944, POS: 0.046, NEG: 0.011})"
882,👸,"AnalyzerOutput(output=NEU, probas={NEU: 0.818, POS: 0.175, NEG: 0.006})"
883,💴,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.059, NEG: 0.006})"
884,🦏,"AnalyzerOutput(output=NEU, probas={NEU: 0.938, POS: 0.055, NEG: 0.007})"
885,🎋,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.061, NEG: 0.008})"
886,🚚,"AnalyzerOutput(output=NEU, probas={NEU: 0.912, POS: 0.082, NEG: 0.007})"
887,7️⃣,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.060, NEG: 0.005})"
888,♿,"AnalyzerOutput(output=NEU, probas={NEU: 0.939, POS: 0.053, NEG: 0.009})"
889,🌛,"AnalyzerOutput(output=NEU, probas={NEU: 0.942, POS: 0.053, NEG: 0.005})"
890,🍪,"AnalyzerOutput(output=NEU, probas={NEU: 0.926, POS: 0.064, NEG: 0.011})"
891,🍰,"AnalyzerOutput(output=NEU, probas={NEU: 0.934, POS: 0.058, NEG: 0.008})"
892,🦔,"AnalyzerOutput(output=NEU, probas={NEU: 0.916, POS: 0.077, NEG: 0.007})"
893,🇳🇪,"AnalyzerOutput(output=NEU, probas={NEU: 0.918, POS: 0.071, NEG: 0.011})"
